state,pop18,gunlaw18
Alabama,4888949,10
Alaska,738068,3
Arizona,7123898,8
Arkansas,3020327,11
California,39776830,107
Colorado,5684203,30
Connecticut,3588683,92
Delaware,971180,42
District of Columbia,703608,
Florida,21312211,30
Georgia,10545138,6
Hawaii,1426393,81
Idaho,1753860,1
Illinois,12768320,65
Indiana,6699629,12
Iowa,3160553,24
Kansas,2918515,7
Kentucky,4472265,7
Louisiana,4682509,20
Maine,1341582,11
Maryland,6079602,70
Massachusetts,6895917,103
Michigan,9991177,21
Minnesota,5628162,41
Mississippi,2982785,2
Missouri,6135888,2
Montana,1062330,4
Nebraska,1932549,22
Nevada,3056824,21
New Hampshire,1350575,9
New Jersey,9032872,78
New Mexico,2090708,10
New York,19862512,75
North Carolina,10390149,30
North Dakota,755238,10
Ohio,11694664,15
Oklahoma,3940521,9
Oregon,4199563,38
Pennsylvania,12823989,37
Rhode Island,1061712,54
South Carolina,5088916,12
South Dakota,877790,6
Tennessee,6782564,22
Texas,28704330,18
Utah,3159345,15
Vermont,623960,20
Virginia,8525660,13
Washington,7530552,43
West Virginia,1803077,18
Wisconsin,5818049,23
Wyoming,573720,5
